"","pcon19cd","pcon19nm","near.bog"
"1","E14000530","Aldershot",FALSE
"2","E14000531","Aldridge-Brownhills",FALSE
"3","E14000532","Altrincham and Sale West",FALSE
"4","E14000533","Amber Valley",FALSE
"5","E14000534","Arundel and South Downs",FALSE
"6","E14000535","Ashfield",FALSE
"7","E14000536","Ashford",FALSE
"8","E14000537","Ashton-under-Lyne",FALSE
"9","E14000538","Aylesbury",FALSE
"10","E14000539","Banbury",FALSE
"11","E14000540","Barking",FALSE
"12","E14000541","Barnsley Central",FALSE
"13","E14000542","Barnsley East",FALSE
"14","E14000543","Barrow and Furness",TRUE
"15","E14000544","Basildon and Billericay",FALSE
"16","E14000545","Basingstoke",FALSE
"17","E14000546","Bassetlaw",FALSE
"18","E14000547","Bath",FALSE
"19","E14000548","Batley and Spen",FALSE
"20","E14000549","Battersea",FALSE
"21","E14000550","Beaconsfield",FALSE
"22","E14000551","Beckenham",FALSE
"23","E14000552","Bedford",FALSE
"24","E14000553","Bermondsey and Old Southwark",FALSE
"25","E14000554","Berwick-upon-Tweed",TRUE
"26","E14000555","Bethnal Green and Bow",FALSE
"27","E14000556","Beverley and Holderness",FALSE
"28","E14000557","Bexhill and Battle",FALSE
"29","E14000558","Bexleyheath and Crayford",FALSE
"30","E14000559","Birkenhead",FALSE
"31","E14000560","Birmingham, Edgbaston",FALSE
"32","E14000561","Birmingham, Erdington",FALSE
"33","E14000562","Birmingham, Hall Green",FALSE
"34","E14000563","Birmingham, Hodge Hill",FALSE
"35","E14000564","Birmingham, Ladywood",FALSE
"36","E14000565","Birmingham, Northfield",FALSE
"37","E14000566","Birmingham, Perry Barr",FALSE
"38","E14000567","Birmingham, Selly Oak",FALSE
"39","E14000568","Birmingham, Yardley",FALSE
"40","E14000569","Bishop Auckland",TRUE
"41","E14000570","Blackburn",TRUE
"42","E14000571","Blackley and Broughton",FALSE
"43","E14000572","Blackpool North and Cleveleys",FALSE
"44","E14000573","Blackpool South",FALSE
"45","E14000574","Blaydon",FALSE
