"pcon19nm","pcon19cd","Seagrass hectares"
"Angus","S14000004",174.7
"Arfon","W07000057",56.3
"Argyll and Bute","S14000005",3
"Barrow and Furness","E14000543",65.1
"Berwick-upon-Tweed","E14000554",1358.5
"Beverley and Holderness","E14000556",0.6
"Caithness, Sutherland and Easter Ross","S14000009",234.8
"Camborne and Redruth","E14000616",28.1
"Chichester","E14000633",98.9
"Dumfries and Galloway","S14000013",104.8
"Dundee West","S14000016",3
"Dunfermline and West Fife","S14000017",26.4
"Dwyfor Meirionnydd","W07000061",122.7
"East Antrim","N06000005",81
"East Devon","E14000678",141.6
"East Londonderry","N06000006",27.5
"Fareham","E14000699",5.4
"Foyle","N06000008",162.8
"Gower","W07000046",4.7
"Havant","E14000736",17.5
"Isle of Wight","E14000762",274.2
"Linlithgow and East Falkirk","S14000043",33.8
"Llanelli","W07000045",10.7
"Maldon","E14000806",0.5
"Moray","S14000046",0
"Na h-Eileanan an Iar","S14000027",339.7
"New Forest East","E14000827",135.2
"Newport East","W07000055",276.2
"Newport West","W07000056",0.7
"Newton Abbot","E14000835",990.4
"North Ayrshire and Arran","S14000048",80.9
"North East Fife","S14000049",55.9
"North Norfolk","E14000848",39
"North West Norfolk","E14000859",2.7
"Orkney and Shetland","S14000051",0
"Plymouth, Moor View","E14000879",48.9
"Plymouth, Sutton and Devonport","E14000880",32.5
"Poole","E14000881",0.9
"Portsmouth North","E14000883",101.4
"Portsmouth South","E14000884",81.6
"Preseli Pembrokeshire","W07000065",168
"Rochester and Strood","E14000898",5.3
"Rochford and Southend East","E14000899",82.9
"Ross, Skye and Lochaber","S14000055",2424
"South Dorset","E14000936",152.3
"South Down","N06000015",14.1
"South East Cornwall","E14000938",82.5
"South Suffolk","E14000946",1.5
"South West Devon","E14000950",9
"Southend West","E14000957",120.9
"St Austell and Newquay","E14000961",0
"St Ives","E14000964",398.8
"Strangford","N06000016",940.3
"Suffolk Coastal","E14000981",0.4
"Torbay","E14000999",111.3
"Totnes","E14001001",56.5
"Truro and Falmouth","E14001003",238.7
"West Dorset","E14001031",62.5
"Ynys Mon","W07000041",82.9
