"pcon19cd","Constituency","Woodland area (ha)","Constituency area (ha)","Woodland (%)"
"E14000530","Aldershot",1.8,5300.4,0
"E14000531","Aldridge-Brownhills",41,4403.4,0.9
"E14000532","Altrincham and Sale West",51,5092.5,1
"E14000533","Amber Valley",7408.5,12463.8,59.4
"E14000534","Arundel and South Downs",8293.5,64513.1,12.9
"E14000535","Ashfield",2906.5,10772.6,27
"E14000536","Ashford",1629.9,50366.8,3.2
"E14000537","Ashton-under-Lyne",261.4,2780.6,9.4
"E14000538","Aylesbury",2207.8,18547.2,11.9
"E14000539","Banbury",8933.5,46366,19.3
"E14000540","Barking",NA,2043.7,NA
"E14000541","Barnsley Central",175.1,4836.6,3.6
"E14000542","Barnsley East",345.5,8680.8,4
"E14000543","Barrow and Furness",214.6,28123.6,0.8
"E14000544","Basildon and Billericay",10.5,6021.6,0.2
"E14000545","Basingstoke",21.7,5890.1,0.4
"E14000546","Bassetlaw",378,47956.4,0.8
"E14000547","Bath",NA,2868.1,NA
"E14000548","Batley and Spen",292.6,5504.7,5.3
"E14000549","Battersea",NA,1028.9,NA
"E14000550","Beaconsfield",434.1,17628.3,2.5
"E14000551","Beckenham",2.6,3448,0.1
"E14000552","Bedford",53.3,3396.8,1.6
"E14000553","Bermondsey and Old Southwark",NA,1043,NA
"E14000554","Berwick-upon-Tweed",22410.1,238396.9,9.4
"E14000555","Bethnal Green and Bow",NA,917.6,NA
"E14000556","Beverley and Holderness",499.2,77489.2,0.6
"E14000557","Bexhill and Battle",7627,52905.4,14.4
"E14000558","Bexleyheath and Crayford",NA,2161.9,NA
"E14000559","Birkenhead",NA,2509.1,NA
"E14000560","Birmingham, Edgbaston",NA,2830.9,NA
"E14000561","Birmingham, Erdington",NA,2203.2,NA
"E14000562","Birmingham, Hall Green",NA,1976.1,NA
"E14000563","Birmingham, Hodge Hill",NA,2051.4,NA
"E14000564","Birmingham, Ladywood",NA,2573.7,NA
"E14000565","Birmingham, Northfield",11.7,2442.7,0.5
"E14000566","Birmingham, Perry Barr",NA,2486.9,NA
"E14000567","Birmingham, Selly Oak",NA,2187.4,NA
"E14000568","Birmingham, Yardley",NA,2259.7,NA
"E14000569","Bishop Auckland",9621.9,92265.7,10.4
"E14000570","Blackburn",229.2,4033.5,5.7
"E14000571","Blackley and Broughton",NA,2811.5,NA
"E14000572","Blackpool North and Cleveleys",NA,2299.6,NA
"E14000573","Blackpool South",NA,2022.2,NA
"E14000574","Blaydon",1241,11033.1,11.2
"E14000575","Blyth Valley",14,7039.6,0.2
"E14000576","Bognor Regis and Littlehampton",60.9,6133.7,1
"E14000577","Bolsover",7899.5,22639.9,34.9
"E14000578","Bolton North East",861.2,3596.5,23.9
"E14000579","Bolton South East",178.5,3679.9,4.8
"E14000580","Bolton West",874.5,7177.5,12.2
"E14000581","Bootle",NA,2583.4,NA
"E14000582","Boston and Skegness",NA,70794.3,NA
"E14000583","Bosworth",447.5,28900.1,1.5
"E14000584","Bournemouth East",83.7,2553.3,3.3
"E14000585","Bournemouth West",NA,2718.3,NA
"E14000586","Bracknell",120,7392.1,1.6
"E14000587","Bradford East",29.5,2845.2,1
"E14000588","Bradford South",840.5,4328.5,19.4
"E14000589","Bradford West",968.4,3520.1,27.5
"E14000590","Braintree",272.2,46750.9,0.6
"E14000591","Brent Central",NA,1825.5,NA
"E14000592","Brent North",NA,2079.7,NA
"E14000593","Brentford and Isleworth",NA,2610.9,NA
"E14000594","Brentwood and Ongar",109.1,31675.4,0.3
"E14000595","Bridgwater and West Somerset",2358,108205.4,2.2
"E14000596","Brigg and Goole",282.4,63732.6,0.4
"E14000597","Brighton, Kemptown",450.2,3978.6,11.3
"E14000598","Brighton, Pavilion",325.3,2905.8,11.2
"E14000599","Bristol East",0.6,2371.6,0
"E14000600","Bristol North West",NA,4418.5,NA
"E14000601","Bristol South",45,2457.1,1.8
"E14000602","Bristol West",NA,1723.3,NA
"E14000603","Broadland",75.4,76386.7,0.1
"E14000604","Bromley and Chislehurst",NA,2937.1,NA
"E14000605","Bromsgrove",2532.9,21703.6,11.7
"E14000606","Broxbourne",291.1,6689.1,4.4
"E14000607","Broxtowe",1681.6,6583.4,25.5
"E14000608","Buckingham",22383.4,86698,25.8
"E14000609","Burnley",575,11068.6,5.2
"E14000610","Burton",2505.2,24334.6,10.3
"E14000611","Bury North",1378.6,5099.3,27
"E14000612","Bury South",678.8,4846,14
"E14000613","Bury St Edmunds",1073.7,50202.8,2.1
"E14000614","Calder Valley",4327.8,30625.8,14.1
"E14000615","Camberwell and Peckham",NA,1138.2,NA
"E14000616","Camborne and Redruth",3796.9,27922.4,13.6
"E14000617","Cambridge",NA,3618.5,NA
"E14000618","Cannock Chase",711.4,7889.6,9
"E14000619","Canterbury",981.9,24870.4,3.9
"E14000620","Carlisle",277.1,21063.6,1.3
"E14000621","Carshalton and Wallington",NA,2549.4,NA
"E14000622","Castle Point",182.9,4450.4,4.1
"E14000623","Central Devon",25821.6,141340,18.3
"E14000624","Central Suffolk and North Ipswich",775,79621.3,1
"E14000625","Charnwood",1079.8,17149.2,6.3
"E14000626","Chatham and Aylesford",341,6143.7,5.6
"E14000627","Cheadle",20,3937.3,0.5
"E14000628","Chelmsford",NA,4240.3,NA
